Woonplaats,Adres,Woning,Doelgroep,Publicatiedatum,Reacties,Verantwoording,Publicatiemodel
Uithoorn,Romeflat 8,Galerijflat - 4 kamers,Gezin,25-01-2024,1093 reacties,De woning is verhuurd aan de 10e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Willy La Croixstraat 56,Tussenwoning - 4 kamers,Gezin,25-01-2024,714 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Hasebroekstraat 72 A,Maisonnette - 3 kamers,Gezin,25-01-2024,1265 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amstelveen,Rembrandtweg 113,Bovenwoning - 4 kamers,Gezin,25-01-2024,1416 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Burgemeester Van de Pollstraat 90 -1,Portiekflat - 2 kamers,Gezin,25-01-2024,2079 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Thomas a Kempisstraat 12,Tussenwoning - 3 kamers,Gezin,25-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Hoofdweg 747,Portiekflat - 2 kamers,Senioren,25-01-2024,4 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Witte de Withplein 27,Galerijflat - 3 kamers,Gezin,25-01-2024,931 reacties,De woning is verhuurd aan de 11e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Gooioord 169,Galerijflat - 4 kamers,Gezin,25-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Harriet Freezerstraat 38,Benedenwoning - 3 kamers,Gezin,25-01-2024,4011 reacties,De woning is verhuurd aan de 6e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Bentinckstraat 37 -1,Bovenwoning - 2 kamers,Gezin,25-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Derde Oosterparkstraat 184 -D,Portiekwoning - 2 kamers,Gezin,25-01-2024,414 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Daalwijk 314,Galerijflat - 2 kamers,Gezin,25-01-2024,364 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Leibnizstraat 119,Portiekflat - 2 kamers,Gezin,25-01-2024,468 reacties,De woning is verhuurd aan de 5e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Therese Schwartzestraat 16 H,Benedenwoning - 2 kamers,Gezin,25-01-2024,3868 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Wittenburgerkade 74,Portiekwoning - 2 kamers,Jongeren,25-01-2024,122 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Landbouwstraat 35 1,Bovenwoning - 3 kamers,Gezin,25-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Conradstraat 153 HS,Benedenwoning - 4 kamers,Gezin,25-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Hoofddorp,Fanny Blankers-Koenlaan 226,Galerijflat - 2 kamers,Jongeren,25-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Abbenes,Langerak 67,Hoekwoning - 5 kamers,Gezin,25-01-2024,721 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Heesterveld 306,Portiekflat - 4 kamers,Gezin,25-01-2024,111 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Kapteynstraat 13 H,Benedenwoning - 2 kamers,Jongeren,25-01-2024,111 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Julius Pergerstraat 14,Portiekwoning - 3 kamers,Senioren,25-01-2024,715 reacties,De woning is verhuurd aan de 17e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Sarphatistraat 92 C,Galerijflat - 1 kamers,Jongeren,25-01-2024,831 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Zaandam,Zwartemeer 48,Galerijflat - 3 kamers,Senioren,25-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Van Kinsbergenstraat 36 -2,Portiekflat - 3 kamers,Gezin,25-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Saffierstraat 41 -3,Portiekwoning - 3 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Von Humboldtstraat 12,Portiekwoning - 3 kamers,Senioren,24-01-2024,527 reacties,De woning is verhuurd aan de 14e kandidaat (Voorrang),Aanbodmodel
Hoofddorp,Burgemeester Pabstlaan 214,Benedenwoning - 3 kamers,Senioren,24-01-2024,185 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Burgemeester Van Tienhovengracht 54 -1,Bovenwoning - 2 kamers,Gezin,24-01-2024,224 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Uithoorn,Admiraal de Ruyterlaan 144,Corridorflat - 3 kamers,Senioren,24-01-2024,229 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Amstelveenseweg 239 1,Portiekwoning - 4 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Kneppelweg 60,Portiekwoning - 2 kamers,Jongeren,24-01-2024,357 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Diemen,Meerkoet 111,Galerijflat - 2 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Derde Oosterparkstraat 79 -A,Portiekwoning - 2 kamers,Gezin,24-01-2024,1938 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Hoofddorp,Hemertplein 103,Galerijflat - 3 kamers,Senioren,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Kees Broekmanstraat 666,Portiekflat - 3 kamers,Gezin,24-01-2024,1751 reacties,De woning is verhuurd aan de 13e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Maasdrielhof 147,Portiekwoning - 3 kamers,Gezin,24-01-2024,2894 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Hoofddorp,Banjaard 11,Tussenwoning - 4 kamers,Gezin,24-01-2024,450 reacties,De woning is verhuurd aan de 20e kandidaat (Voorrang),Aanbodmodel
Krommenie,Grote Beer 227,Galerijflat - 4 kamers,Gezin,24-01-2024,772 reacties,De woning is verhuurd aan de 5e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Remijden 15,Galerijflat - 3 kamers,Gezin,24-01-2024,638 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Geert Grootestraat 3,Tussenwoning - 4 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Van Reigersbergenstraat 21 -1,Portiekflat - 2 kamers,Gezin,24-01-2024,2366 reacties,De woning is verhuurd aan de 7e kandidaat (Voorrang),Aanbodmodel
Koog aan de Zaan,Wildemanakker 12,Galerijflat - 2 kamers,Senioren,24-01-2024,189 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Remijden 38,Galerijflat - 3 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Van Speijkstraat 110 -3,Portiekflat - 3 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Koornhorst 457,Galerijflat - 2 kamers,Senioren,24-01-2024,114 reacties,De woning is verhuurd aan de 12e kandidaat (Voorrang),Aanbodmodel
Purmerend,Naardermeer 31,Tussenwoning - 4 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Tuinbouwstraat 59 -B,Benedenwoning - 2 kamers,Gezin,24-01-2024,1652 reacties,De woning is verhuurd aan de 20e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Loenermark 726,Galerijflat - 2 kamers,Senioren,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Dovenetelstraat 27 I,Bovenwoning - 3 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Tweede Hugo de Grootstraat 37 2,Bovenwoning - 2 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Wagenaarstraat 482 N,Portiekwoning - 3 kamers,Senioren,24-01-2024,81 reacties,De woning is verhuurd aan de 6e kandidaat (Voorrang),Aanbodmodel
Amstelveen,Sportlaan 344,Tussenwoning - 4 kamers,Gezin,24-01-2024,2238 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Gerard Douplein 78,Portiekwoning - 2 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Krommenie,Rosariumpark 180,Corridorflat - 2 kamers,Zorg,24-01-2024,19 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Hugo de Vrieslaan 109 H,Benedenwoning - 2 kamers,Jongeren,24-01-2024,910 reacties,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Boeninlaan 326,Portiekwoning - 2 kamers,Gezin,24-01-2024,1082 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Van Beuningenplein 56,Portiekwoning - 2 kamers,Gezin,24-01-2024,390 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Eerste Constantijn Huygensstraat 78 -C,Portiekwoning - 1 kamers,Jongeren,24-01-2024,72 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Reimerswaalstraat 1 -E-2,Galerijflat - 3 kamers,Gezin,24-01-2024,6314 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Erich Salomonstraat 85,Galerijflat - 4 kamers,Senioren,24-01-2024,103 reacties,De woning is verhuurd aan de 5e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Botteskerksingel 40 -1,Maisonnette - 5 kamers,Gezin,24-01-2024,1916 reacties,De woning is verhuurd aan de 8e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Senecastraat 4,Tussenwoning - 2 kamers,Jongeren,24-01-2024,476 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Geert Grootestraat 26,Tussenwoning - 3 kamers,Gezin,24-01-2024,3543 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Hoofddorp,Burgemeester Pabstlaan 206,Benedenwoning - 3 kamers,Senioren,24-01-2024,120 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Herman Robbersstraat 7 -3,Portiekwoning - 3 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Jan Zijvertszstraat 14,Benedenwoning - 2 kamers,Jongeren,24-01-2024,413 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Van Ostadestraat 474 A,Portiekwoning - 3 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Burgemeester Van Leeuwenlaan 43 -4,Portiekwoning - 2 kamers,Jongeren,24-01-2024,2632 reacties,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Rapenburgerstraat 158,Portiekwoning - 3 kamers,Gezin,24-01-2024,951 reacties,De woning is verhuurd aan de 16e kandidaat (Voorrang),Aanbodmodel
Hoofddorp,Puttersbos 205,Galerijflat - 2 kamers,Jongeren,24-01-2024,616 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Science Park 637-E,Portiekwoning - 1 kamers,Jongeren,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Science Park 625-D,Portiekwoning - 1 kamers,Jongeren,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Science Park 637-U,Portiekwoning - 1 kamers,Jongeren,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Foersterhof 11,Tussenwoning - 4 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Socratesstraat 35,Bovenwoning - 3 kamers,Gezin,24-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Opheusdenhof 171,Portiekwoning - 5 kamers,Gezin,23-01-2024,5 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Griftstraat 33 3,Portiekwoning - 2 kamers,Gezin,23-01-2024,32 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Science Park 621-K,Portiekwoning - 1 kamers,Jongeren,23-01-2024,7 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Alexander Dumaslaan 142,Portiekwoning - 2 kamers,Gezin,23-01-2024,1116 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Wisseloord 897,Galerijflat - 2 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zwanenburg,Inlaag 29,Galerijflat - 2 kamers,Jongeren,23-01-2024,350 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Zuidgorsstraat 9,Galerijflat - 2 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Talmastraat 23 2,Portiekwoning - 4 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Arendonksingel 3,Tussenwoning - 4 kamers,Gezin,23-01-2024,3449 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Korte Marnixkade 7 -1E,Portiekflat - 2 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Duivendrecht,Lunaweg 12,Galerijflat - 3 kamers,Senioren,23-01-2024,33 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Ringslangpad 204,Corridorflat - 1 kamers,Jongeren,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Diemen,Henry Dunantlaan 24,Galerijflat - 4 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Nassauplein 13,Galerijflat - 2 kamers,Jongeren,23-01-2024,820 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Van Limburg Stirumstraat 13-C,Maisonnette - 4 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Statenjachtstraat 820,Galerijflat - 2 kamers,Senioren,23-01-2024,224 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amstelveen,Punter 373,Portiekwoning - 3 kamers,Gezin,23-01-2024,944 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Gerrie Knetemannlaan 392,Galerijflat - 3 kamers,Gezin,23-01-2024,7402 reacties,De woning is verhuurd aan de 12e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Havikslaan 20 -B-3,Portiekwoning - 1 kamers,Jongeren,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Tweede Constantijn Huygensstraat 39 -B-22,Corridorflat - 1 kamers,Jongeren,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Maassluisstraat 632 2,Portiekwoning - 3 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Jasper Leijnsenstraat 20 HS,Portiekwoning - 2 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Krommenie,Grote Beer 222,Galerijflat - 4 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Olympiakade 45 -2,Bovenwoning - 2 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Koog aan de Zaan,Matjeszoom 13,Tussenwoning - 4 kamers,Gezin,23-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandijk,George Gershwinstraat 178,Tussenwoning - 3 kamers,Gezin,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Bernard Loderstraat 19 3,Bovenwoning - 3 kamers,Gezin,22-01-2024,847 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,J.S. Ruppertstraat 62,Galerijflat - 4 kamers,Gezin,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Th. Weeversweg 81,Corridorflat - 3 kamers,Senioren,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Wolter Brandligtstraat 20 1,Bovenwoning - 2 kamers,Gezin,22-01-2024,871 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Kersenstraat 6,Tussenwoning - 3 kamers,Gezin,22-01-2024,598 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Mastbos 41,Galerijflat - 4 kamers,Persoon,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Science Park 635-C,Portiekwoning - 1 kamers,Jongeren,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Wolter Brandligtstraat 16 H,Benedenwoning - 2 kamers,Gezin,22-01-2024,279 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Magalhaensplein 29 HS,Benedenwoning - 2 kamers,Gezin,22-01-2024,1329 reacties,De woning is verhuurd aan de 7e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Wiardi Beckmanstraat 8 1,Bovenwoning - 2 kamers,Gezin,22-01-2024,1200 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Wolter Brandligtstraat 8 1,Bovenwoning - 2 kamers,Gezin,22-01-2024,1788 reacties,De woning is verhuurd aan de 6e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Statenjachtstraat 218,Galerijflat - 4 kamers,Gezin,22-01-2024,586 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Koen Limpergstraat 7 1,Bovenwoning - 2 kamers,Gezin,22-01-2024,1185 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Johan Ramaerstraat 8 H,Portiekwoning - 2 kamers,Gezin,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Binnen Bantammerstraat 17 -1E,Bovenwoning - 2 kamers,Gezin,22-01-2024,1425 reacties,De woning is verhuurd aan de 10e kandidaat (Voorrang),Aanbodmodel
Amsterdam,IJdoornlaan 1717,Portiekflat - 3 kamers,Senioren,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Ringslangpad 56,Corridorflat - 1 kamers,Jongeren,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Paul Scholtenstraat 30,Tussenwoning - 4 kamers,Gezin,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Van Gilsestraat 5 2,Portiekwoning - 3 kamers,Gezin,22-01-2024,503 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Ringslangpad 50,Corridorflat - 1 kamers,Jongeren,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Motorwal 101,Portiekwoning - 1 kamers,Jongeren,22-01-2024,480 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Krugerplein 18 H,Benedenwoning - 3 kamers,Gezin,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Slootdorpstraat 216,Galerijflat - 2 kamers,Gezin,22-01-2024,713 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Leerdamhof 90,Galerijflat - 4 kamers,Gezin,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Wiardi Beckmanstraat 2 H,Benedenwoning - 2 kamers,Jongeren,22-01-2024,563 reacties,De woning is verhuurd aan de 6e kandidaat (Voorrang),Aanbodmodel
Zaandam,Justpier 62,Portiekwoning - 3 kamers,Gezin,22-01-2024,1517 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Pieter Langendijkstraat 54 H,Benedenwoning - 2 kamers,Gezin,22-01-2024,1090 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Bos en Lommerplantsoen 67 -M,Portiekwoning - 1 kamers,Jongeren,22-01-2024,694 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amstelveen,Sint Josephlaan 38,Bovenwoning - 4 kamers,Gezin,22-01-2024,57 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Ringslangpad 211,Corridorflat - 1 kamers,Jongeren,22-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Marianne Philipsstraat 8 -H,Benedenwoning - 2 kamers,Jongeren,22-01-2024,2980 reacties,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Henri Borelstraat 2 -H,Benedenwoning - 2 kamers,Gezin,22-01-2024,564 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amstelveen,In de Wolken 104,Galerijflat - 4 kamers,Gezin,22-01-2024,2689 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Zaandam,Heukelsstraat 10,Galerijflat - 4 kamers,Gezin,22-01-2024,700 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Nageljongenstraat 120,Portiekwoning - 2 kamers,Senioren,22-01-2024,26 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Weesp,Papelaan 24 c,Galerijflat - 3 kamers,Gezin,19-01-2024,831 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Duivendrecht,Jupiter 311,Galerijflat - 2 kamers,Jongeren,19-01-2024,2885 reacties,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Zaandam,Kievitweg 14,Benedenwoning - 3 kamers,Jongeren,19-01-2024,251 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Ambonplein 25,Portiekflat - 1 kamers,Jongeren,19-01-2024,660 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Zaaiersweg 91 HS,Benedenwoning - 2 kamers,Persoon,19-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Assendelft,Smeeke Ven 201,Tussenwoning - 4 kamers,Gezin,19-01-2024,332 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Zaandam,Zuidervaldeurstraat 2 A,Galerijflat - 2 kamers,Senioren,19-01-2024,120 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amstelveen,Ir. Romplaan 49,Hoekwoning - 4 kamers,Gezin,19-01-2024,419 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amstelveen,Sportlaan 244,Portiekwoning - 4 kamers,Gezin,19-01-2024,5429 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Zaandijk,Hendrik Andriessenstraat 16,Tussenwoning - 4 kamers,Gezin,19-01-2024,228 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Pomonastraat 96-H,Benedenwoning - 2 kamers,Gezin,19-01-2024,69 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Planciusstraat 14 -D,Portiekflat - 2 kamers,Gezin,19-01-2024,3473 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Spaarndam,Westhoff 66,Maisonnette - 4 kamers,Gezin,19-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandam,Justpier 60,Portiekwoning - 4 kamers,Gezin,19-01-2024,1336 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Zaandijk,John Lennonstraat 236,Corridorflat - 2 kamers,Senioren,19-01-2024,135 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Zaandijk,John Lennonstraat 224,Corridorflat - 3 kamers,Senioren,19-01-2024,214 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Seinwachterstraat 95,Tussenwoning - 4 kamers,Gezin,19-01-2024,674 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,De Wittenkade 2-B,Portiekwoning - 4 kamers,Gezin,19-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Florijn 628,Galerijflat - 4 kamers,Gezin,19-01-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Klaas Katerstraat 65,Portiekflat - 3 kamers,Gezin,19-01-2024,3035 reacties,De woning is verhuurd aan de 8e kandidaat (Voorrang),Aanbodmodel
Weesp,Mgr.Dr.W.H.Nolenslaan 6,Tussenwoning - 3 kamers,Gezin,19-01-2024,559 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Nieuw-Vennep,Beethovenlaan 108,Galerijflat - 2 kamers,Senioren,19-01-2024,120 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
